,index,Link,Nama Mobil,Name,comment_content,comment_date,comment_rating,comment_title,model,source,total_like,total_reply,comment_seen
,0,https://www.oto.com/mobil-baru/chevrolet/captiva/review-pengguna/mobil-idaman-keluarga-1967,chevrolet captiva,ervandy afianto,"mobil chevrolet ini sangat tangguh dan kaki2 senyap utk perjalanan jauh sangatlah cocok walaupun membawa anak kecil tidaklah bingung karena sangatlah nyaman sekali, untuk jalanan berlobang pun tak akan terasa karena memang shock yang digunakan sangatlah empuk sehingga memberikan kenyamanan tersendiri dalam berkendara, suku cadang yg tidaklah sulit dan relatif murahApakah review ini berguna untuk Anda?Ya12Tidak2","Apr 28, 2018",5/5,mobil idaman keluarga Review Pengguna,chevrolet,oto,12,0,418 Dilihat
,1,https://www.oto.com/mobil-baru/chevrolet/captiva/review-pengguna/ganteng-tetapi-sedikit-boros-di-putaran-bawah-,chevrolet captiva,David,"Mobil yang ganteng dan tidak bosan menurut saya. Performa turbo nya patut diacungi jempol. Pada saat hendak berakselerasi, harus injak gas lebih dalam (turbo lag, tetapi begitu turbo bekerja, langsung melesat cepat). Sayangnya sedikit boros di putaran bawah (Bisa dilihat dari perhitungan instant fuel consumption). Interior walaupun tidak wah, tapi sangatlah nyaman meskipun warna interior berwarna terang butuh perawatan ekstra. Pada kecepatan tinggi, Mobil ini tidak limbung. AC nya dingin. Ruang cukup lega dikarenakan baris ketiga yang cukup sempit tetapi bisa untuk orang yang tingginya maksimal 150cm masih nyaman. Fitur safety sangat lah lengkap, merupakan standar dari Monil eropa. Salah satu alasan utama saya memilih captiva. Dengan fitur keselamatan yang lengkap dan fitur lainnya, Mobil ini sangat value for money. Oh ya, kesenyapan kabinnya sangat baik/kedap. Suara kolong hanya sedikit masuk ke dalam kabin, beda dengan mobil jepang yang suara kolongnya sangat terasa di dalam kabin. Jok nya sangat empok, dengan bahan kulit yang berkualitas. Interior yang walaupun ada yang berbahan plastik, tetapi plastiknya sangat tebal. Satu yang tidak saya suka adalah konsumsi bbm nya yang cukup boros.Apakah review ini berguna untuk Anda?Ya16Tidak0","Feb 04, 2018",4/5,Ganteng tetapi sedikit boros di putaran bawah Review Pengguna,chevrolet,oto,16,0,782 Dilihat
,2,https://www.oto.com/mobil-baru/chevrolet/captiva/review-pengguna/badak,chevrolet captiva,Taufik Rahman,Mobil saya caftiva Bensin manual tahun 2010 sudah saya bawa keliling kalimantan dan nyaman di kendarai Suspensi nyaman tenaga seperti badak jadi memang tidak salah jika di sebut Badak di 3C atau Chevy Captiva Club menemani saya dalam pekerjaan yang membutuhkan mobilitas tinggi dan sayamerasa cukup puas dengan chevy captiva milik sayaApakah review ini berguna untuk Anda?Ya16Tidak0,"Jan 03, 2018",5/5,Badak Review Pengguna,chevrolet,oto,16,0,484 Dilihat
,3,https://www.oto.com/mobil-baru/daihatsu/ayla/review-pengguna/curahan-hati-jujur-,daihatsu ayla,Kurniawan,"Mobil nya Simpel,,Elegan,,enak di pakai dan cocok untuk anak muda dan yang sudah memiliki keluarga,,pastinya gak ketinggalan jaman deh.Dan Yg terpenting PAS BANGET UNTUK keluarga BERENCANA dan keluarga BAHAGIA ( 1 istri & 2 Anak ).Untuk bisa merasakan keseruan dan kenyamanan saat bersama keluarga kalian semua,,mari seger miliki mobil Daihatsu Ayla untuk anda dan keluarga anda.Apakah review ini berguna untuk Anda?Ya9Tidak0","Agt 29, 2018",5/5,Curahan hati ( JUJUR ) Review Pengguna,daihatsu,oto,9,0,675 Dilihat
,4,https://www.oto.com/mobil-baru/daihatsu/ayla/review-pengguna/mobil-irit-dan-gesit,daihatsu ayla,Ridho Alfianto,"Mobil idaman para keluarga Indonesia,irit,bertenaga nyaman dan harga sangat kompetitif.    mobil yang sangat bagus di kelasnya, yang lain lewat deh.t tidak salah kami pilih dahaitsu Ayla tipe R 1.2 cc.sangat recomended bagi keluarga berjumlah 4 orang. Sangat memuaskan di semua medan di ibukota. Mobil LCGC yang terlihat bukan seperti mobil LCGC.tidak akan nyesel beli Mobil Ayla 1.2 cc.top markotop.....Apakah review ini berguna untuk Anda?Ya12Tidak0","Jun 19, 2018",5/5,Mobil irit dan gesit Review Pengguna,daihatsu,oto,12,0,858 Dilihat
,5,https://www.oto.com/mobil-baru/daihatsu/ayla/review-pengguna/simpel-aman-bisa-masuk-ke-jalan-kecil,daihatsu ayla,Resky putra Nasution,Mobil yang sesuai dengan kondisi jalanan kota Medan yang macat bisa selap selip . Masuk ke gang kecilJadi gak takut lagi dengan kemacetanMobil kecil nyaman sejuk terjangkauMobil sudah nyaman aman jalan kecil terjangkau . Ditambah lagi irit BBMPas banget dengan kantong kalau lagi tanggal tua . Pokoknya Ayla 1.2 ini sangat berkualitas lahApakah review ini berguna untuk Anda?Ya6Tidak0,"Mei 15, 2018",5/5,"Simpel , aman , bisa masuk ke jalan kecil Review Pengguna",daihatsu,oto,6,0,571 Dilihat
,6,https://www.oto.com/mobil-baru/daihatsu/ayla/review-pengguna/elegan-gacor-gesit-dan-irit-,daihatsu ayla,Rinaldi Elektrische,"AYLA 1.2 X AT ambil pas akhir tahun 2017... sempat ragu antara Sigra/Datsun GO+/Ayla ??? Akhirnya pilihan jatuh kepada Ayla... dengan tampilan baru dan tenaga baru membuat saya tidak salah pilih, cuma penyesalannya harusnya saya ambil yg tipe 1.2 R AT... karena cuma beda 7jt tp fitur byk yg gk ada... haha... sempat dibawa dengan kecepatan 140km/jam dan masih stabil... jalan menanjak pun oke... gesit untuk menyalip ferrari sekalipun... :p untuk konsumsi bahan bakar tergolong irit meskipun mesin sudah 1.200cc. Trek Tangerang - Gn. Putri 70km via Tol Jagorawi-Jorr-Tangerang (PP) bisa ditempuh dengan isi bensin 50rb (6.4ltr)... Irit kan tuh... Bagasi lega... Velg Racing... Lampu Proyektor... dan lampu LED yg membuat elegan... dan LOGO A nya... karena keluarga kecil saya dari A semua... #TheATeamApakah review ini berguna untuk Anda?Ya7Tidak0","Mei 14, 2018",5/5,"ELEGAN, GACOR, GESIT DAN IRIT Review Pengguna",daihatsu,oto,7,0,1236 Dilihat
,7,https://www.oto.com/mobil-baru/daihatsu/ayla/review-pengguna/mobil-mungil-tapi-luas,daihatsu ayla,Eric Valrntin,"Saya menggunakan Daihatsu Ayla tahun 2015, awalnya tertarik dgn design bodynya yang unik dan mungil serta jg harga yg terjangkau.Mobil ini bukan hanya kecil n mungil saja, itu hanyalah tampak luar. kalau dari dalam. masih sangat luas banget. walau masih mesin dgn 1.000 cc, masih sanggup utk melawan tanjakan jalan ke berastagi bersama keluarga penuh di dalam mobil.Mobil mungil nan luas ini jg memberikan kehematan dalam berkendara karena irit bensin.secara keseluruhan saya sangat puas dgn mobil ini. walau sekarang sudah muncul yg 1.200cc makin tertarik d..Apakah review ini berguna untuk Anda?Ya9Tidak1","Mei 07, 2018",4/5,Mobil Mungil Tapi Luas  Review Pengguna,daihatsu,oto,9,0,922 Dilihat
,8,https://www.oto.com/mobil-baru/daihatsu/ayla/review-pengguna/siputih-mungil-irit,daihatsu ayla,Eko Rudiyanyo,"Walaupun kecil tapi pas buat keluarga kecilnya,walaupun LCGC tapi itu sudah cukup bagiku,selalu menemaniku diberbagai rintangan jalan berbukit ataupun jalan datar,jalan rusak ataupun jalan bagus dan pernah juga kuajak menyeberangi sungai karena itu satu satunya jalan juga menerjang banjir sampai kap mesinku berasap akan tetapi dia tak pernah mengecewakanku.Alya mobilku,ayla teman perjalananku.Apakah review ini berguna untuk Anda?Ya5Tidak0","Apr 24, 2018",5/5,Siputih Mungil Irit Review Pengguna,daihatsu,oto,5,0,475 Dilihat
,9,https://www.oto.com/mobil-baru/daihatsu/ayla/review-pengguna/kecil2-cabe-rawit,daihatsu ayla,Yusak andy,"Mobil murah, tapi tidak murahan.bodynya kecil tapi dalamnya luas sekali. Irit dan tangguh. Mau tanjakan sesulit apapun bisa dilalui dengan mudah. Bisa bawa penumbang banyak dan barang banyak, apalagi buat bawa barang grosiran. Cocok sekali untuk keluarga kecil kami. Jadi ingin punya varian maticnya untuk pemakaian di dalam kota buat istriApakah review ini berguna untuk Anda?Ya4Tidak0","Apr 07, 2018",5/5,Kecil2 cabe rawit Review Pengguna,daihatsu,oto,4,0,619 Dilihat
